School,Phone,Rate
Channel View School for Research,718-634-1970,5
High School for Teaching and the Professions,718-329-7380,2
Cultural Academy for the Arts and Sciences,718-968-6630,2
Inwood Early College for Health and Information Technologies,212-567-1394,3
Medgar Evers College Preparatory School,718-703-5400,7
El Puente Academy for Peace and Justice,718-387-1125,1
"Bronx High School of Science, The",718-817-7700,10
Mott Hall Bronx High School,718-466-6800,3
High School of Telecommunication Arts and Technology,718-759-3400,3
"Brooklyn School for Math and Research (B-SMARt), The",718-381-7100,6
Chelsea Career and Technical Education High School,212-925-1080,5
Bronx High School of Business,718-410-4060,2
The Urban Assembly Academy of Government and Law,212-505-0745,3
Brooklyn School for Music & Theatre,718-230-6250,2
W. H. Maxwell Career and Technical Education High School,718-345-9100,2
The Maxine Greene High School for Imaginative Inquiry,212-799-4064,
The College Academy,212-927-1841,2
Middle College High School at LaGuardia Community College,718-392-3330,3
Bronx High School for Writing and Communication Arts,718-944-5660,
Orchard Collegiate Academy,212-406-9411,
International School for Liberal Arts,718-329-8570,4
Juan Morel Campos Secondary School,718-302-7900,2
Business Technology Early College High School (BTECH),718-217-3613,3
Bronx High School for Law and Community Service,718-733-5274,3
Eleanor Roosevelt High School,212-772-1220,10
Rockaway Park High School for Environmental Sustainability,718-734-3280,2
World Academy for Total Community Health High School (WATCH),718-688-7980,2
Gotham Professional Arts Academy,718-455-0746,3
"H.E.R.O. High (Health, Education, and Research Occupations High School)",718-585-8013,
Cobble Hill School of American Studies,718-403-9544,3
Murry Bergtraum High School for Business Careers,212-964-9610,2
Validus Preparatory Academy,718-466-4000,2
"Science Skills Center High School for Science, Technology and the Creative Arts",718-243-9413,4
Edward R. Murrow High School,718-258-9283,3
"Young Women's Leadership School, Astoria (TYWLS)",718-267-2839,7
Bronx River High School,718-904-4210,2
Jacqueline Kennedy Onassis High School,212-391-0041,
Eagle Academy for Young Men II,718-495-0863,3
Boys and Girls High School,718-467-1700,2
Queens Collegiate: A College Board School,718-658-4016,5
Academy for College Preparation and Career Exploration: A College Board School,718-564-2566,3
Baccalaureate School for Global Education,718-361-5275,9
Flushing International High School,718-463-2348,2
Bronx Compass High School,718-828-1206,2
Urban Assembly New York Harbor School,212-458-0800,4
Brooklyn Studio Secondary School,718-266-5032,5
Frank Sinatra School of the Arts High School,718-361-9920,6
New World High School,718-696-3800,3
International High School at Union Square,212-533-2560,2
Knowledge and Power Preparatory Academy International High School (KAPPA),718-933-1247,4
Civic Leadership Academy,718-271-1487,8
Susan E. Wagner High School,718-698-4200,4
New Directions Secondary School,718-410-4343,1
PROGRESS High School for Professional Careers,718-387-0228,2
John Jay School for Law,718-832-4250,
High School of American Studies at Lehman College,718-329-2144,10
Academy for Careers in Television and Film (ACTV),718-609-3330,6
Quest to Learn,212-488-3645,4
World View High School,718-601-0391,3
"Science, Technology and Research Early College High School at Erasmus (STAR)",718-564-2540,
Bronx Studio School for Writers and Artists,718-893-5158,4
Benjamin Franklin High School for Finance & Information Technology,718-276-0150,3
Wings Academy,718-597-1751,2
Multicultural High School,718-827-2796,2
Bronx Bridges High School,718-829-2984,1
Townsend Harris High School,718-575-5580,10
Independence High School,212-262-8067,
Business of Sports School (BOSS),212-246-2183,3
The Global Learning Collaborative,212-877-1103,
The Williamsburg High School of Arts and Technology,718-599-1207,2
Academy for Software Engineering (AFSE),212-253-3299,4
Pathways College Preparatory School: A College Board School,718-454-4957,3
FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,718-688-7930,1
Brooklyn Generation School,718-968-4200,2
Comprehensive Model School Project M.S. 327,718-294-8111,5
Francis Lewis High School,718-281-8200,6
Williamsburg Preparatory School,718-302-2306,5
Expeditionary Learning School for Community Leaders,718-333-7700,4
Bronx Engineering and Technology Academy,718-563-6678,2
University Heights Secondary School,718-292-0578,9
Bushwick Leaders High School for Academic Excellence,718-919-4212,2
Manhattan International High School,212-517-6728,2
Forest Hills High School,718-268-3137,2
Bronx Center for Science and Mathematics,718-992-7089,5
Bronx International High School,718-620-1053,2
"Metropolitan High School, The",718-991-4634,
Queens Gateway to Health Sciences Secondary School,718-969-3155,8
Veritas Academy,718-888-7520,
High School of Sports Management,718-333-7650,
Fort Hamilton High School,718-748-1537,4
Eagle Academy for Young Men of Harlem,212-694-6051,2
Baruch College Campus High School,212-683-7440,9
Bronx Leadership Academy II High School,718-292-7171,2
High School for Public Service: Heroes of Tomorrow,718-756-5325,6
The Academy of Urban Planning and Engineering,718-381-7100,
The Eagle Academy for Young Men of Staten Island,718-727-6201,
Claremont International High School,718-410-4001,1
City College Academy of the Arts,212-567-3164,7
Staten Island Technical High School,718-667-3222,10
Bronxdale High School,718-944-3655,2
Art and Design High School,212-752-4340,4
Millennium Art Academy,718-824-0978,
Union Square Academy for Health Sciences,212-253-3110,2
Maspeth High School,718-803-7100,6
Central Park East High School,212-860-5929,7
The Urban Assembly School for Applied Math and Science,718-466-7800,4
New Dorp High School,718-667-8686,4
High School of World Cultures,718-860-8120,1
World Journalism Preparatory: A College Board School,718-461-2219,6
John Bowne High School,718-263-1919,3
Hillcrest High School,718-658-5407,9
The Michael J. Petrides School,718-815-0186,5
Fordham High School for the Arts,718-733-4656,4
High School for Civil Rights,718-922-6289,1
The Urban Assembly School for Global Commerce,212-831-5201,1
Bronx Early College Academy for Teaching & Learning,718-681-8287,3
Secondary School for Journalism,718-832-4201,2
"Queens High School of Teaching, Liberal Arts and the Sciences",718-736-7100,4
Harry S Truman High School,718-904-5400,3
Women's Academy of Excellence,718-542-0740,2
"Metropolitan Soundview High School, The",718-860-8240,2
Leon M. Goldstein High School for the Sciences,718-368-8500,8
Cambria Heights Academy,718-736-7320,3
Columbia Secondary School,212-666-1278,9
Brooklyn Collaborative Studies,718-923-4700,3
Rockaway Collegiate High School,718-734-3290,2
Discovery High School,718-733-3872,5
"Brooklyn School for Social Justice, The",718-381-7100,
George Washington Carver High School for the Sciences,718-525-6439,
Brooklyn Lab School,718-235-3592,1
"High School for Construction Trades, Engineering and Architecture",718-846-6280,5
"High School for Mathematics, Science and Engineering at City College (HSMSE)",212-281-6490,
